cgid,chr,pos,strand,Type,Islands_Name,Relation_to_Island,UCSC_RefGene_Name,UCSC_RefGene_Accession,UCSC_RefGene_Group
cg05885020,chr16,89939744,+,I,chr16:89939432-89940812,Island,TCF25,NM_014972,TSS1500
cg05892960,chr18,501109,+,I,chr18:499315-500722,S_Shore,COLEC12,NM_130386,TSS1500
cg05908775,chr19,58144687,-,I,chr19:58144339-58144999,Island,ZNF211;ZNF211;ZNF211;ZNF211,NM_006385;NM_198855;NM_006385;NM_198855,1stExon;1stExon;5'UTR;5'UTR
cg05910755,chr16,58060865,+,I,chr16:58059380-58061477,Island,MMP15,NM_002428,Body
cg05920602,chr7,1625357,-,I,,OpenSea,KIAA1908;KIAA1908;KIAA1908,NR_027329;NR_027328;NR_021487,Body;Body;Body
cg05920643,chr16,24552079,+,I,chr16:24550618-24551723,S_Shore,RBBP6;RBBP6;RBBP6,NM_032626;NM_006910;NM_018703,1stExon;1stExon;1stExon
cg05925507,chr11,62573094,+,I,chr11:62572710-62573149,Island,NXF1;NXF1,NM_001081491;NM_006362,TSS200;TSS200
cg05926943,chr16,50100517,+,I,chr16:50099720-50100534,Island,HEATR3,NM_182922,Body
cg05928023,chr20,3451622,+,I,chr20:3451291-3452231,Island,ATRN;ATRN,NM_139322;NM_139321,TSS200;TSS200
cg05936217,chr10,131640509,+,I,chr10:131638564-131638840,S_Shore,EBF3,NM_001005463,Body
cg05938316,chr3,88108540,-,I,chr3:88107550-88108509,S_Shore,CGGBP1;CGGBP1,NM_003663;NM_001008390,TSS1500;TSS1500
cg05942152,chr11,64902077,+,I,chr11:64901526-64902107,Island,SYVN1;SYVN1,NM_032431;NM_172230,TSS200;TSS200
cg05942736,chr12,110939567,-,I,chr12:110939456-110940173,Island,VPS29;RAD9B;VPS29,NM_016226;NM_152442;NM_057180,Body;TSS1500;Body
cg05943368,chr17,21179232,-,I,chr17:21178819-21179690,Island,,,
cg05951308,chr12,72080128,-,I,chr12:72079789-72080261,Island,TMEM19;TMEM19,NM_018279;NM_018279,5'UTR;1stExon
cg05957285,chr12,1099985,+,I,chr12:1099557-1100785,Island,ERC1;ERC1;ERC1;ERC1;ERC1,NM_178040;NR_027949;NR_027946;NR_027948;NM_178039,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500
cg05971818,chr8,357061,-,I,chr8:356374-357674,Island,FBXO25;FBXO25;FBXO25;FBXO25;FBXO25;FBXO25,NM_012173;NM_183420;NM_183421;NM_183420;NM_012173;NM_183421,1stExon;1stExon;5'UTR;5'UTR;5'UTR;1stExon
cg05977551,chr10,52499562,+,I,chr10:52499392-52500021,Island,ASAH2B,NM_001079516,TSS200
cg05979501,chr17,40897122,+,I,chr17:40896658-40897234,Island,EZH1,NM_001991,TSS200
cg05983723,chr16,70432258,+,I,,OpenSea,ST3GAL2,NM_006927,Body
cg05984522,chr16,29801792,+,I,chr16:29801696-29802545,Island,KIF22,NM_007317,TSS1500
cg05989100,chr16,46655373,-,I,chr16:46655002-46655374,Island,SHCBP1,NM_024745,TSS200
cg05990008,chr16,83999068,+,I,chr16:83998884-83999139,Island,OSGIN1;OSGIN1;OSGIN1,NM_182981;NM_182980;NM_013370,Body;Body;Body
cg05992875,chr8,144621330,-,I,chr8:144623134-144623917,N_Shore,ZC3H3,NM_015117,Body
cg05994508,chr17,78518873,-,I,chr17:78518750-78519083,Island,RPTOR;RPTOR;RPTOR;RPTOR,NM_020761;NM_001163034;NM_001163034;NM_020761,1stExon;5'UTR;1stExon;5'UTR
cg05995135,chr17,19912840,-,I,chr17:19912539-19913409,Island,,,
cg05999005,chr2,152685246,-,I,chr2:152684475-152685131,S_Shore,ARL5A;ARL5A;ARL5A,NM_001037174;NM_012097;NM_177985,TSS1500;TSS1500;TSS1500
cg05999287,chr7,116312265,-,I,chr7:116311824-116312598,Island,MET;MET,NM_000245;NM_001127500,TSS200;TSS200
cg06001652,chr11,2951578,+,I,chr11:2949788-2951756,Island,PHLDA2,NM_003311,TSS1500
cg06019722,chr3,69101353,+,I,chr3:69101221-69101664,Island,TMF1;TMF1,NM_007114;NM_007114,5'UTR;1stExon
cg06023487,chr5,60628875,+,I,chr5:60626505-60629809,Island,ZSWIM6,NM_020928,Body
cg06038049,chr1,1259909,+,I,chr1:1259643-1260635,Island,GLTPD1;CPSF3L,NM_001029885;NM_017871,TSS1500;Body
cg06046574,chr3,125239327,+,II,chr3:125238496-125239201,S_Shore,SNX4,NM_003794,TSS1500
cg06047995,chr3,129035211,-,I,chr3:129033540-129035646,Island,H1FX;C3orf47,NM_006026;NR_026991,TSS200;Body
cg06049736,chr18,77154422,+,I,chr18:77153292-77160759,Island,NFATC1;NFATC1;NFATC1,NM_006162;NM_172390;NM_172388,TSS1500;TSS1500;TSS1500
cg06051496,chr16,15808785,+,I,,OpenSea,MYH11;MYH11;NDE1;NDE1;MYH11;MYH11,NM_022844;NM_002474;NM_017668;NM_001143979;NM_001040114;NM_001040113,Body;Body;Body;Body;Body;Body
cg06073402,chr17,42786043,+,I,chr17:42785900-42786278,Island,DBF4B;DBF4B;DBF4B;DBF4B,NM_025104;NM_145663;NM_025104;NM_145663,5'UTR;5'UTR;1stExon;1stExon
cg06074143,chr17,37774242,-,I,chr17:37774076-37774591,Island,,,
cg06077733,chr10,60094879,+,I,chr10:60094731-60095306,Island,UBE2D1;UBE2D1,NM_003338;NM_003338,5'UTR;1stExon
cg06079273,chr8,97247865,+,I,,OpenSea,UQCRB,NM_006294,TSS200
cg06079428,chr20,43280462,+,I,chr20:43280061-43280727,Island,ADA,NM_000022,TSS200
cg06080224,chr7,107204581,+,I,chr7:107204114-107204797,Island,COG5;COG5;DUS4L;COG5;COG5;COG5;DUS4L;COG5,NM_001161520;NM_006348;NM_181581;NM_181733;NM_001161520;NM_006348;NM_181581;NM_181733,5'UTR;1stExon;5'UTR;1stExon;1stExon;5'UTR;1stExon;5'UTR
cg06080252,chr7,105162855,+,I,chr7:105161982-105162889,Island,PUS7,NM_019042,TSS200
cg06093395,chr20,5093897,-,I,chr20:5093360-5094145,Island,C20orf30;C20orf30;C20orf30;C20orf30,NM_001009923;NM_014145;NM_001009925;NM_001009924,TSS200;TSS200;TSS200;TSS200
cg06096175,chr20,60701350,-,I,chr20:60696561-60698342,S_Shelf,LSM14B,NM_144703,Body
cg06105987,chr7,151483394,-,I,chr7:151479989-151480353,S_Shelf,PRKAG2;PRKAG2,NM_016203;NM_001040633,Body;Body
cg06107469,chr12,56862350,+,I,,OpenSea,SPRYD4;SPRYD4,NM_207344;NM_207344,1stExon;5'UTR
cg06126743,chr4,184580462,-,II,chr4:184579921-184580644,Island,C4orf41;RWDD4A;C4orf41;C4orf41;C4orf41,NM_199053;NM_152682;NM_021942;NM_021942;NM_199053,1stExon;TSS200;1stExon;5'UTR;5'UTR
cg06135574,chr16,1550622,-,I,chr16:1550144-1550829,Island,TELO2,NM_016111,Body
cg06136443,chr12,14720387,+,I,chr12:14720248-14721093,Island,PLBD1,NM_024829,Body
cg06153298,chr16,88851960,+,I,chr16:88850744-88852274,Island,FAM38A,NM_001142864,TSS1500
cg06160440,chr1,155243364,+,I,chr1:155242861-155243436,Island,CLK2,NM_003993,TSS200
cg06170053,chr6,21596959,-,I,chr6:21596731-21597091,Island,SOX4;SOX4,NM_003107;NM_003107,3'UTR;1stExon
cg06175036,chr4,846732,-,I,chr4:843317-843936,S_Shelf,GAK,NM_005255,Body
cg06189303,chr3,112931126,-,I,chr3:112930437-112931506,Island,BOC,NM_033254,TSS1500
cg06191719,chr11,2907337,-,I,chr11:2907308-2907675,Island,CDKN1C;CDKN1C;CDKN1C,NM_000076;NM_001122631;NM_001122630,TSS1500;TSS1500;TSS1500
cg06199468,chr16,58163354,+,I,chr16:58162754-58163682,Island,C16orf80,NM_013242,TSS200
cg06218622,chr17,8079772,+,I,chr17:8079490-8080125,Island,TMEM107;TMEM107,NM_032354;NM_183065,TSS200;TSS200
cg06219821,chr1,12290367,+,I,chr1:12289954-12290585,Island,VPS13D;VPS13D,NM_018156;NM_015378,5'UTR;5'UTR
cg06222220,chr16,67260896,-,I,chr16:67260744-67261155,Island,LRRC29;LRRC29;LRRC29;TMEM208,NM_012163;NM_001004055;NM_001004055;NM_014187,TSS200;1stExon;5'UTR;TSS200
cg06227171,chr2,43864628,-,I,chr2:43864322-43864956,Island,PLEKHH2,NM_172069,5'UTR
cg06227257,chr2,33824395,+,I,chr2:33824310-33824857,Island,FAM98A,NM_015475,TSS200
cg06233745,chr16,90028462,-,I,chr16:90030509-90030740,N_Shelf,DEF8,NM_207514,Body
cg06247015,chr22,42949727,-,I,chr22:42949592-42950304,Island,SERHL2,NM_014509,TSS200
cg06258179,chr7,92463261,-,I,chr7:92462201-92466387,Island,CDK6;CDK6,NM_001145306;NM_001259,5'UTR;TSS200
cg06267927,chr12,498162,+,I,chr12:498098-498920,Island,KDM5A;KDM5A;CCDC77;CCDC77,NM_005056;NM_001042603;NM_001130148;NM_001130147,1stExon;1stExon;TSS1500;TSS1500
cg06272054,chr12,46766548,-,I,chr12:46765134-46766633,Island,SLC38A2;SLC38A2,NM_018976;NM_018976,5'UTR;1stExon
cg06272678,chr1,46599128,-,I,chr1:46598126-46599129,Island,PIK3R3;PIK3R3,NM_003629;NM_001114172,TSS1500;TSS1500
cg06273010,chr11,119187868,-,I,chr11:119186947-119187894,Island,MCAM,NM_006500,TSS200
cg06273454,chr20,17949326,+,I,chr20:17948755-17949921,Island,C20orf72;SNX5;SNX5,NM_052865;NM_152227;NM_014426,TSS1500;5'UTR;TSS200
cg06279128,chr6,33129567,-,I,chr6:33129291-33129718,Island,,,
cg06281716,chr2,61293359,+,I,chr2:61292868-61293585,Island,KIAA1841;KIAA1841,NM_001129993;NM_032506,5'UTR;TSS200
cg06296107,chr10,99205545,-,I,chr10:99205476-99206274,Island,ZDHHC16;EXOSC1;ZDHHC16;ZDHHC16;ZDHHC16;ZDHHC16,NM_198046;NM_016046;NM_198044;NM_198043;NM_032327;NM_198045,TSS1500;Body;TSS1500;TSS1500;TSS1500;TSS1500
cg06299559,chr22,50964432,+,I,chr22:50963608-50970768,Island,SCO2;SCO2;TYMP;SCO2;TYMP;TYMP;SCO2;SCO2,NM_001169110;NM_001169111;NM_001113756;NM_005138;NM_001953;NM_001113755;NM_001169109;NM_001169110,1stExon;TSS1500;Body;TSS1500;Body;Body;5'UTR;5'UTR
cg06302857,chr22,35695644,+,I,chr22:35695643-35696110,Island,TOM1;TOM1;TOM1;TOM1;TOM1;TOM1,NR_024195;NM_001135730;NM_001135732;NR_024194;NM_001135729;NM_005488,TSS200;TSS200;TSS200;TSS200;5'UTR;TSS200
cg06304787,chr16,88772962,-,I,chr16:88772237-88773195,Island,CTU2;RNF166;CTU2,NM_001012759;NM_178841;NM_001012762,1stExon;TSS200;1stExon
cg06312785,chr3,135685131,-,I,chr3:135684570-135685367,Island,PPP2R3A,NM_002718,5'UTR
cg06314643,chr7,44039612,+,I,,OpenSea,SPDYE1;POLR2J4,NM_175064;NR_003655,TSS1500;Body
cg06320420,chr16,88872998,+,I,chr16:88871850-88872056,S_Shore,CDT1,NM_030928,Body
cg06327920,chr12,93323225,-,I,chr12:93322342-93323498,Island,EEA1,NM_003566,TSS200
cg06329537,chr16,23568656,+,I,chr16:23568398-23569488,Island,UBFD1;EARS2;EARS2,NM_019116;NM_001083614;NR_003501,TSS1500;1stExon;Body
cg06335251,chr10,31320888,+,I,chr10:31320483-31321553,Island,ZNF438;ZNF438;ZNF438;ZNF438;ZNF438;ZNF438;ZNF438,NM_001143771;NM_001143767;NM_182755;NM_001143770;NR_026560;NM_001143766;NM_001143768,TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200
cg06336613,chr15,77223807,+,I,chr15:77223771-77224466,Island,RCN2,NM_002902,TSS200
cg06338552,chr22,41742113,+,I,chr22:41741931-41742165,Island,ZC3H7B,NM_017590,Body
cg06339712,chr11,118307066,-,I,chr11:118305422-118307705,Island,MLL,NM_005933,TSS200
cg06341202,chr17,78010343,-,I,chr17:78009076-78011084,Island,CCDC40;TBC1D16,NM_017950;NM_019020,TSS200;TSS1500
cg06341513,chr11,61277017,+,I,chr11:61275825-61277329,Island,LRRC10B,NM_001145077,1stExon
cg06348651,chr12,110562118,+,I,chr12:110562095-110562700,Island,IFT81;IFT81;IFT81,NM_014055;NM_031473;NM_001143779,TSS200;TSS200;TSS200
cg06352711,chr2,152118435,+,I,chr2:152117883-152118479,Island,RBM43,NM_198557,TSS200
cg06358970,chr2,85664826,+,I,chr2:85664694-85665055,Island,,,
cg06361505,chr16,46655096,+,I,chr16:46655002-46655374,Island,SHCBP1,NM_024745,Body
cg06364023,chr3,51428651,+,I,chr3:51428412-51429625,Island,RBM15B,NM_013286,TSS200
cg06365057,chr10,50323706,+,I,chr10:50323184-50323735,Island,C10orf72;C10orf72,NM_144984;NM_001031746,TSS200;TSS200
cg06367102,chr7,1192688,-,I,,OpenSea,ZFAND2A,NM_182491,3'UTR
cg06370133,chr2,113914844,+,I,chr2:113914681-113915396,Island,,,
cg06371632,chr7,90893758,-,I,chr7:90893567-90896683,Island,FZD1,NM_003505,TSS200
cg06375580,chr12,42538820,-,I,chr12:42538125-42538902,Island,GXYLT1;GXYLT1,NM_173601;NM_001099650,TSS200;TSS200
cg06376522,chr11,58347088,+,II,chr11:58345673-58347321,Island,LPXN;ZFP91;ZFP91-CNTF,NM_001143995;NM_053023;NR_024091,TSS1500;1stExon;Body
cg06383648,chr4,6596401,+,I,,OpenSea,MAN2B2,NM_015274,Body
cg06384952,chr3,183602746,-,I,chr3:183602432-183602874,Island,PARL;PARL,NM_018622;NM_001037639,TSS200;TSS200
cg06386278,chr11,86013177,+,I,,OpenSea,C11orf73;C11orf73;C11orf73;C11orf73,NR_024596;NM_016401;NR_024597;NR_024598,TSS1500;TSS200;TSS200;TSS200
cg06406822,chr5,175955056,+,I,,OpenSea,RNF44,NM_014901,3'UTR
cg06407663,chr11,33279084,+,I,chr11:33278657-33280175,Island,HIPK3;HIPK3,NM_005734;NM_001048200,TSS200;TSS200
cg06422464,chr8,144332645,+,I,chr8:144332365-144332743,Island,ZFP41,NM_173832,3'UTR
cg06423533,chr19,4909366,-,I,chr19:4909262-4910256,Island,UHRF1;UHRF1,NM_001048201;NM_013282,TSS200;TSS1500
cg06445428,chr5,176433245,+,I,chr5:176432854-176433908,Island,UIMC1,NM_016290,5'UTR
cg06447369,chr16,89557420,-,I,chr16:89555775-89557753,Island,ANKRD11,NM_013275,TSS1500
cg06452013,chr16,1006166,-,I,chr16:1005902-1006281,Island,LMF1,NM_022773,Body
cg06452583,chr4,184579939,-,I,chr4:184579921-184580644,Island,RWDD4A;C4orf41;C4orf41,NM_152682;NM_199053;NM_021942,Body;TSS1500;TSS1500
cg06457396,chr13,103426286,+,I,chr13:103425298-103426887,Island,C13orf27,NM_138779,TSS200
cg06459916,chr2,88355002,-,I,chr2:88354840-88355574,Island,KRCC1,NM_016618,5'UTR
cg06460652,chr5,176519331,+,I,chr5:176520157-176520622,N_Shore,FGFR4;FGFR4;FGFR4,NM_022963;NM_213647;NM_002011,Body;Body;Body
cg06480238,chr16,88557453,-,I,chr16:88558051-88558329,N_Shore,ZFPM1,NM_153813,Body
cg06511389,chr17,42092403,-,I,chr17:42092143-42092432,Island,TMEM101,NM_032376,TSS200
cg06514371,chr3,152880982,-,I,chr3:152878268-152881086,Island,RAP2B,NM_002886,1stExon
cg06523022,chr16,86541766,-,I,chr16:86541430-86545228,Island,,,
cg06533200,chr11,2466138,+,I,chr11:2466247-2466818,N_Shore,KCNQ1,NM_000218,TSS200
cg06535849,chr16,81925084,-,I,,OpenSea,PLCG2,NM_002661,Body
cg06538774,chr22,24584247,-,I,chr22:24584178-24584384,Island,SUSD2,NM_019601,Body
cg06541501,chr8,25903852,-,I,chr8:25900562-25905842,Island,EBF2,NM_022659,TSS1500
cg06544141,chr1,27320384,+,I,chr1:27320127-27321146,Island,TRNP1,NM_001013642,1stExon
cg06545189,chr10,75936595,-,I,chr10:75936217-75936726,Island,ADK;ADK;ADK,NM_001123;NM_006721;NM_001123,5'UTR;Body;1stExon
cg06545328,chr16,5083910,-,I,chr16:5083244-5084032,Island,NAGPA,NM_016256,1stExon
cg06545648,chr7,75544361,-,I,chr7:75543965-75544775,Island,POR,NM_000941,TSS200
cg06549924,chr8,26306331,+,I,chr8:26305853-26306825,Island,,,
cg06550018,chr5,149502665,-,I,,OpenSea,PDGFRB,NM_002609,Body
cg06554781,chr19,58962929,-,I,chr19:58962740-58963343,Island,ZNF324B,NM_207395,TSS200
cg06557887,chr17,38443852,-,I,chr17:38443815-38444152,Island,CDC6,NM_001254,TSS1500
cg06558050,chr8,11550572,-,I,chr8:11550366-11550585,Island,,,
cg06560300,chr5,1278791,-,I,chr5:1277467-1277713,S_Shore,TERT;TERT,NM_198255;NM_198253,Body;Body
cg06562807,chr19,18392889,+,I,chr19:18390360-18392734,S_Shore,JUND,NM_005354,TSS1500
cg06562865,chr18,74961451,+,I,chr18:74961556-74963822,N_Shore,GALR1,NM_001480,TSS1500
cg06563086,chr17,44919303,-,I,,OpenSea,,,
cg06565620,chr18,47792949,-,I,chr18:47792742-47793036,Island,CCDC11,NM_145020,TSS200
cg06569866,chr12,57943724,+,I,chr12:57943662-57943926,Island,KIF5A,NM_004984,TSS200
cg06580782,chr3,39093495,+,I,chr3:39093469-39094025,Island,WDR48,NM_020839,TSS200
cg06583105,chr10,103892723,-,I,chr10:103892659-103893590,Island,PPRC1,NM_015062,TSS200
cg06589246,chr6,158589183,+,I,chr6:158588887-158589449,Island,SERAC1;SERAC1;GTF2H5,NM_032861;NM_032861;NM_207118,1stExon;5'UTR;TSS200
cg06596955,chr14,74416976,-,I,chr14:74416857-74417358,Island,COQ6;COQ6;COQ6;FAM161B,NM_182476;NM_182480;NM_182476;NM_152445,1stExon;5'UTR;5'UTR;TSS200
cg06622737,chr1,171750501,+,I,chr1:171750399-171750934,Island,METTL13;METTL13;METTL13,NM_001007239;NM_015935;NM_014955,TSS1500;TSS1500;TSS1500
cg06623560,chr14,81902963,+,I,chr14:81902091-81903147,Island,,,
cg06629549,chr12,49246117,+,I,chr12:49245656-49246173,Island,DDX23,NM_004818,TSS200
cg06629775,chr2,55459073,-,II,,OpenSea,RPS27A;C2orf63;RPS27A;RPS27A;C2orf63,NM_001135592;NM_152385;NM_001135592;NM_002954;NM_001135598,5'UTR;5'UTR;1stExon;TSS1500;5'UTR
cg06647218,chr16,68279240,-,I,chr16:68278870-68279628,Island,PLA2G15,NM_012320,TSS200
cg06648483,chr3,125802615,+,I,chr3:125802447-125803258,Island,SLC41A3;SLC41A3;SLC41A3;SLC41A3,NM_017836;NM_001008485;NM_001164475;NM_001008486,5'UTR;5'UTR;5'UTR;5'UTR
cg06652112,chr3,193853919,-,I,chr3:193854575-193856015,N_Shore,HES1,NM_005524,TSS200
cg06658684,chr1,155243295,+,I,chr1:155242861-155243436,Island,CLK2,NM_003993,TSS200
cg06659580,chr4,77227628,-,I,chr4:77227354-77228482,Island,STBD1,NM_003943,TSS200
cg06664085,chr10,28287942,+,I,chr10:28287447-28288057,Island,ARMC4;ARMC4,NM_018076;NM_018076,5'UTR;1stExon
cg06667416,chr3,186501294,+,I,chr3:186500738-186502048,Island,EIF4A2;SNORD2,NM_001967;NR_002587,TSS200;TSS1500
cg06674436,chr5,1278864,-,I,chr5:1277467-1277713,S_Shore,TERT;TERT,NM_198255;NM_198253,Body;Body
cg06685177,chr17,71161322,-,I,chr17:71160922-71162350,Island,SSTR2;SSTR2,NM_001050;NM_001050,1stExon;5'UTR
cg06686826,chr3,36985996,-,I,chr3:36985540-36987041,Island,TRANK1,NM_014831,Body
cg06691810,chr8,27168883,-,I,chr8:27168205-27169082,Island,TRIM35;PTK2B;PTK2B,NM_171982;NM_173174;NM_004103,TSS200;TSS200;TSS200
cg06700265,chr12,12715028,+,I,chr12:12714633-12715200,Island,DUSP16,NM_030640,5'UTR
cg06709324,chr1,179262897,-,I,chr1:179262771-179263321,Island,SOAT1,NM_003101,TSS200
cg06716613,chr4,39640782,+,I,chr4:39640156-39640923,Island,C4orf34,NM_174921,TSS1500
cg06716684,chr21,27011480,-,I,chr21:27011624-27012398,N_Shore,JAM2,NM_021219,TSS200
cg06726747,chr17,34900645,+,I,chr17:34900150-34901450,Island,GGNBP2,NM_024835,TSS200
cg06731059,chr10,89622048,+,II,chr10:89621772-89624128,Island,PTEN;KILLIN,NM_000314;NM_001126049,TSS1500;1stExon
cg06740354,chr17,40265795,-,I,chr17:40269400-40269613,N_Shelf,KAT2A;DHX58,NM_021078;NM_024119,Body;TSS1500
cg06740963,chr16,2827348,+,I,chr16:2826761-2827795,Island,TCEB2;TCEB2,NM_207013;NM_007108,TSS200;TSS200
cg06743060,chr21,47166624,-,I,chr21:47165786-47166926,Island,,,
cg06751705,chr7,43769116,-,I,chr7:43768814-43769479,Island,C7orf44,NM_018224,TSS200
cg06759739,chr6,45389535,+,I,chr6:45389420-45391646,Island,RUNX2;RUNX2;RUNX2,NM_004348;NM_001015051;NM_001024630,TSS1500;Body;Body
cg06762403,chr12,56325867,+,I,chr12:56325774-56326223,Island,DGKA;DGKA;DGKA;DGKA;DGKA;DGKA;DGKA,NM_201554;NM_201445;NM_201554;NM_201445;NM_001345;NM_201444;NM_201444,1stExon;5'UTR;5'UTR;1stExon;5'UTR;1stExon;5'UTR
cg06762426,chr11,62420836,+,I,chr11:62420544-62420924,Island,INTS5,NM_030628,TSS200
cg06765035,chr10,28032718,+,II,chr10:28030182-28035211,Island,MKX,NM_173576,5'UTR
cg06768288,chr2,239986711,+,I,chr2:239988450-239988710,N_Shore,HDAC4,NM_006037,Body
cg06782920,chr4,52904570,+,I,chr4:52904454-52904912,Island,SGCB,NM_000232,TSS200
cg06785624,chr8,144990484,-,I,chr8:144990270-145002135,Island,PLEC1;PLEC1;PLEC1;PLEC1;PLEC1;PLEC1;PLEC1;PLEC1,NM_201378;NM_201384;NM_201382;NM_201381;NM_000445;NM_201380;NM_201383;NM_201379,Body;Body;Body;Body;Body;Body;Body;Body
cg06785788,chr3,186953699,+,I,,OpenSea,MASP1;MASP1,NM_139125;NM_001879,Body;Body
cg06788803,chr1,45805948,-,I,chr1:45805564-45805983,Island,MUTYH;TOE1;MUTYH;MUTYH;MUTYH;MUTYH;MUTYH;MUTYH;MUTYH;MUTYH,NM_001048173;NM_025077;NM_001048171;NM_001048171;NM_001048174;NM_001128425;NM_012222;NM_012222;NM_001048172;NM_001128425,TSS200;1stExon;5'UTR;1stExon;TSS1500;5'UTR;5'UTR;1stExon;TSS200;1stExon
cg06793691,chr5,43121579,-,I,chr5:43120926-43122005,Island,ZNF131,NM_003432,TSS200
cg06797938,chr17,1466136,+,I,chr17:1465159-1466312,Island,PITPNA,NM_006224,TSS200
cg06805280,chr1,86046570,+,I,chr1:86046362-86047240,Island,CYR61;CYR61,NM_001554;NM_001554,1stExon;5'UTR
cg06805345,chr6,41755749,+,II,chr6:41753880-41755576,S_Shore,TOMM6,NM_001134493,Body
cg06820296,chr11,108463783,+,I,chr11:108463598-108464103,Island,EXPH5,NM_015065,Body
cg06820907,chr2,242122206,+,I,,OpenSea,PPP1R7,NM_002712,Body
cg06823965,chr7,101632645,-,I,,OpenSea,CUX1;CUX1;CUX1,NM_181500;NM_181552;NM_001913,Body;Body;Body
cg06826808,chr5,82373154,+,I,chr5:82373102-82373347,Island,XRCC4;XRCC4;TMEM167A;XRCC4;TMEM167A,NM_022550;NM_003401;NM_174909;NM_022406;NM_174909,TSS200;TSS200;5'UTR;TSS200;1stExon
cg06838921,chr16,88878442,+,I,chr16:88877712-88878936,Island,APRT;APRT,NM_000485;NM_001030018,TSS200;TSS200
cg06839777,chr6,122720676,-,I,chr6:122720607-122721366,Island,HSF2;HSF2,NM_004506;NM_001135564,TSS200;TSS200
cg06842518,chr3,197476315,-,I,chr3:197476262-197477556,Island,FYTTD1;KIAA0226;KIAA0226;FYTTD1;FYTTD1,NM_001011537;NM_001145642;NM_001145642;NM_032288;NR_027840,TSS200;1stExon;5'UTR;TSS1500;TSS1500
cg06842519,chr1,85666970,-,I,chr1:85665818-85667650,Island,SYDE2,NM_032184,TSS1500
cg06844209,chr11,66629644,+,I,chr11:66631254-66631470,N_Shore,PC;PC;PC,NM_022172;NM_000920;NM_001040716,Body;Body;Body
cg06844689,chr12,125549727,-,I,chr12:125549672-125550311,Island,AACS,NM_023928,TSS200
cg06846819,chr11,68850022,+,I,chr11:68849897-68850551,Island,TPCN2,NM_139075,Body
cg06849719,chr1,205399945,+,I,,OpenSea,,,
cg06858599,chr2,70520566,-,I,chr2:70520468-70520999,Island,SNRPG,NM_003096,Body
cg06867822,chr8,142030569,+,I,,OpenSea,,,
cg06869160,chr12,89919815,+,I,chr12:89919012-89919904,Island,GALNT4;WDR51B,NM_003774;NM_172240,TSS1500;TSS200
cg06873106,chr5,149677362,+,I,chr5:149676978-149677751,Island,ARSI,NM_001012301,Body
cg06879630,chr16,15982508,+,I,chr16:15982245-15982672,Island,C16orf63,NM_144600,TSS200
cg06890484,chr11,48001940,-,I,chr11:48001604-48003170,Island,PTPRJ;PTPRJ,NM_001098503;NM_002843,TSS200;TSS200
cg06892439,chr6,30166535,+,I,,OpenSea,TRIM26,NM_003449,Body
cg06893123,chr16,3185027,-,I,chr16:3184276-3185312,Island,ZNF213;ZNF213,NM_004220;NM_001134655,TSS200;TSS200
cg06895316,chr14,105262269,+,I,chr14:105261334-105261624,S_Shore,AKT1;AKT1,NM_001014432;NM_001014431,TSS200;TSS200
cg06896857,chr19,49375797,-,I,chr19:49375484-49375928,Island,PPP1R15A;PPP1R15A,NM_014330;NM_014330,5'UTR;1stExon
cg06905132,chr14,78266399,+,I,chr14:78266347-78266735,Island,ADCK1;ADCK1,NM_001142545;NM_020421,TSS200;TSS200
cg06933031,chr6,32940391,-,I,chr6:32939275-32940954,Island,BRD2;BRD2,NM_001113182;NM_005104,5'UTR;5'UTR
cg06962421,chr1,22446547,-,I,chr1:22446520-22446943,Island,WNT4,NM_030761,Body
cg06962620,chr21,46360149,-,I,chr21:46359647-46360423,Island,C21orf67;C21orf70;C21orf67,NR_027129;NM_058190;NR_027128,TSS1500;Body;TSS1500
cg06963053,chr2,182545533,+,I,chr2:182547873-182549177,N_Shelf,NEUROD1,NM_002500,TSS200
cg06968475,chr2,58468575,-,I,chr2:58468113-58468632,Island,FANCL;FANCL,NM_018062;NM_001114636,TSS200;TSS200
cg06972381,chr11,32851378,-,I,chr11:32851160-32851951,Island,PRRG4,NM_024081,TSS200
cg06977068,chr22,29469014,+,I,chr22:29468639-29470233,Island,KREMEN1;KREMEN1,NM_032045;NM_001039570,TSS200;TSS200
cg06996138,chr22,51222519,+,II,chr22:51221772-51222317,S_Shore,RPL23AP82;RABL2B;RABL2B;RABL2B;RABL2B;RABL2B;RABL2B;RABL2B;RPL23AP82,NR_026981;NM_001130919;NM_007081;NM_001130922;NM_001130921;NM_001130920;NM_001003789;NM_001130923;NR_026982,Body;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;Body
cg07001545,chr10,50747328,+,II,chr10:50746634-50747329,Island,ERCC6,NM_000124,TSS200
cg07005090,chr11,59522827,-,I,chr11:59522425-59523303,Island,STX3,NM_004177,TSS200
cg07010340,chr1,2442012,+,I,chr1:2439797-2440022,S_Shore,PANK4,NM_018216,Body
cg07013940,chr5,162887219,-,I,chr5:162886779-162887242,Island,HMMR;HMMR;NUDCD2;HMMR;HMMR,NM_001142556;NM_001142557;NM_145266;NM_012484;NM_012485,TSS1500;TSS1500;TSS200;TSS1500;TSS1500
