"tissue","cgid","median","mean","var","sd","chr","pos","strand","Type","Islands_Name","Relation_to_Island","UCSC_RefGene_Name","UCSC_RefGene_Accession","UCSC_RefGene_Group"
"blood","cg01466491",0.792,0.783,0.005,0.072,"chr19",10523363,"-","II","chr19:10526982-10527755","N_Shelf","","",""
"blood","cg01915791",0.137,0.144,0.003,0.055,"chr19",36247526,"+","II","chr19:36246328-36247982","Island","HSPB6","NM_144617","Body"
"blood","cg02182476",0.58,0.571,0.013,0.112,"chr19",7538084,"+","II","","OpenSea","LOC100128573","NR_024491","Body"
"blood","cg02224021",0.293,0.292,0.006,0.074,"chr19",836716,"+","II","chr19:836533-836899","Island","","",""
"blood","cg02489552",0.509,0.512,0.008,0.09,"chr19",15121531,"+","II","chr19:15121590-15122143","N_Shore","CCDC105","NM_173482","TSS200"
"blood","cg02901006",0.297,0.301,0.006,0.078,"chr19",8117024,"-","II","chr19:8115250-8115524","S_Shore","CCL25","NM_005624","TSS1500"
"blood","cg03357547",0.798,0.79,0.004,0.061,"chr19",51165207,"-","II","chr19:51165249-51165775","N_Shore","SHANK1","NM_016148","3'UTR"
"blood","cg03404027",0.852,0.845,0.002,0.049,"chr19",1523442,"+","II","chr19:1523705-1524565","N_Shore","PLK5P","NR_026557","TSS1500"
"blood","cg03720611",0.595,0.596,0.006,0.076,"chr19",10124152,"-","II","chr19:10120750-10121231","S_Shelf","RDH8;RDH8","NM_015725;NM_015725","1stExon;5'UTR"
"blood","cg03746345",0.742,0.733,0.006,0.074,"chr19",42874888,"-","II","chr19:42873698-42873954","S_Shore","MEGF8","NM_001410","Body"
"blood","cg03870261",0.873,0.862,0.003,0.057,"chr19",2428514,"-","II","chr19:2428349-2428731","Island","LMNB2;TIMM13","NM_032737;NM_012458","3'UTR;TSS1500"
"blood","cg04282912",0.91,0.892,0.003,0.053,"chr19",46333015,"+","II","","OpenSea","SYMPK","NM_004819","Body"
"blood","cg04573316",0.545,0.543,0.007,0.083,"chr19",54216680,"-","II","","OpenSea","MIR519D","NR_030202","Body"
"blood","cg06953865",0.801,0.788,0.004,0.065,"chr19",18549723,"+","II","chr19:18543828-18549161","S_Shore","ISYNA1;ISYNA1;ISYNA1","NM_016368;NM_001170938;NM_001170939","TSS1500;TSS1500;TSS1500"
"blood","cg07189381",0.238,0.259,0.008,0.09,"chr19",55660514,"+","II","","OpenSea","TNNT1;TNNT1;TNNT1","NM_003283;NM_001126133;NM_001126132","5'UTR;5'UTR;5'UTR"
"blood","cg07475954",0.871,0.865,0.002,0.044,"chr19",52222198,"+","II","chr19:52222423-52223208","N_Shore","HAS1","NM_001523","Body"
"blood","cg07825294",0.479,0.483,0.008,0.092,"chr19",1415757,"-","II","chr19:1419751-1420405","N_Shelf","DAZAP1;DAZAP1","NM_018959;NM_170711","Body;Body"
"blood","cg08173263",0.325,0.331,0.006,0.08,"chr19",14276911,"-","II","chr19:14273429-14274173","S_Shelf","LPHN1;LPHN1","NM_014921;NM_001008701","Body;Body"
"blood","cg08266655",0.332,0.334,0.006,0.075,"chr19",4769001,"-","II","","OpenSea","C19orf30","NR_027148","TSS200"
"blood","cg08283130",0.887,0.869,0.005,0.072,"chr19",8591776,"-","II","chr19:8591294-8591842","Island","MYO1F","NM_012335","Body"
"blood","cg08479675",0.874,0.867,0.002,0.044,"chr19",48537443,"-","II","","OpenSea","CABP5","NM_019855","Body"
"blood","cg08506874",0.445,0.443,0.008,0.087,"chr19",459731,"-","II","chr19:457800-462256","Island","SHC2","NM_012435","Body"
"blood","cg08701621",0.123,0.135,0.003,0.056,"chr19",58570419,"-","II","chr19:58570393-58571779","Island","ZNF135;ZNF135;ZNF135;ZNF135;ZNF135","NM_001164527;NM_003436;NM_001164529;NM_007134;NM_001164530","TSS200;TSS200;TSS200;TSS200;TSS200"
"blood","cg09315367",0.718,0.713,0.006,0.076,"chr19",10736006,"-","II","chr19:10735999-10736396","Island","SLC44A2;SLC44A2","NM_020428;NM_001145056","TSS200;Body"
"blood","cg10767662",0.795,0.787,0.005,0.072,"chr19",13127729,"-","II","chr19:13120986-13124368","S_Shelf","NFIX","NM_002501","Body"
"blood","cg11245297",0.436,0.469,0.011,0.107,"chr19",8117898,"+","II","chr19:8115250-8115524","S_Shelf","CCL25","NM_005624","TSS200"
"blood","cg12157673",0.316,0.323,0.007,0.083,"chr19",52996617,"+","II","chr19:52995940-52996595","S_Shore","ZNF578","NM_001099694","5'UTR"
"blood","cg12416033",0.816,0.809,0.004,0.059,"chr19",36484731,"+","II","chr19:36484904-36485476","N_Shore","SDHAF1","NM_001042631","TSS1500"
"blood","cg13366849",0.86,0.852,0.002,0.048,"chr19",10858670,"-","II","","OpenSea","DNM2;DNM2;DNM2;DNM2","NM_004945;NM_001005361;NM_001005362;NM_001005360","Body;Body;Body;Body"
"blood","cg14317046",0.771,0.768,0.005,0.069,"chr19",18234076,"+","II","chr19:18234710-18234912","N_Shore","MAST3","NM_015016","Body"
"blood","cg14695566",0.444,0.434,0.007,0.082,"chr19",720793,"+","II","chr19:719098-720953","Island","PALM;PALM","NM_002579;NM_001040134","Body;Body"
"blood","cg14773235",0.788,0.769,0.006,0.075,"chr19",51336166,"+","II","chr19:51339293-51339510","N_Shelf","KLK15;KLK15;KLK15","NM_138563;NM_138564;NM_017509","TSS1500;TSS1500;TSS1500"
"blood","cg14900579",0.13,0.135,0.002,0.047,"chr19",7294137,"-","II","chr19:7293340-7294450","Island","INSR;INSR","NM_000208;NM_001079817","TSS200;TSS200"
"blood","cg15428479",0.4,0.4,0.006,0.08,"chr19",18698825,"+","II","chr19:18699422-18700554","N_Shore","C19orf60;C19orf60","NM_001100419;NM_001100418","TSS1500;TSS1500"
"blood","cg16633925",0.822,0.8,0.006,0.079,"chr19",718875,"-","II","chr19:719098-720953","N_Shore","PALM;PALM","NM_002579;NM_001040134","Body;Body"
"blood","cg17490790",0.415,0.413,0.006,0.075,"chr19",10125043,"-","II","chr19:10120750-10121231","S_Shelf","RDH8","NM_015725","Body"
"blood","cg17745392",0.839,0.832,0.003,0.054,"chr19",51050258,"-","II","chr19:51051782-51052122","N_Shore","LRRC4B","NM_001080457","Body"
"blood","cg17826679",0.699,0.695,0.007,0.082,"chr19",10736038,"-","II","chr19:10735999-10736396","Island","SLC44A2;SLC44A2","NM_020428;NM_001145056","TSS200;Body"
"blood","cg17971015",0.125,0.13,0.002,0.044,"chr19",12306198,"+","II","chr19:12305552-12306304","Island","","",""
"blood","cg18301583",0.119,0.127,0.003,0.052,"chr19",53635967,"+","II","chr19:53635625-53636230","Island","ZNF415;ZNF415;ZNF415;ZNF415","NM_001164309;NR_028343;NM_001136038;NM_018355","5'UTR;Body;5'UTR;5'UTR"
"blood","cg18568930",0.702,0.691,0.008,0.091,"chr19",51815658,"-","II","chr19:51815157-51815458","S_Shore","IGLON5","NM_001101372","Body"
"blood","cg18649823",0.178,0.202,0.006,0.077,"chr19",55660591,"-","II","","OpenSea","TNNT1;TNNT1;TNNT1;TNNT1;TNNT1;TNNT1","NM_001126133;NM_003283;NM_003283;NM_001126133;NM_001126132;NM_001126132","1stExon;1stExon;5'UTR;5'UTR;1stExon;5'UTR"
"blood","cg19340950",0.153,0.161,0.003,0.055,"chr19",55667446,"+","II","chr19:55667532-55668465","N_Shore","TNNI3","NM_000363","Body"
"blood","cg19419650",0.529,0.528,0.007,0.086,"chr19",7929643,"+","II","chr19:7926590-7928752","S_Shore","EVI5L;EVI5L","NM_001159944;NM_145245","3'UTR;3'UTR"
"blood","cg19526353",0.869,0.865,0.002,0.045,"chr19",42760742,"-","II","chr19:42757495-42759475","S_Shore","ERF","NM_006494","TSS1500"
"blood","cg19536401",0.488,0.486,0.011,0.103,"chr19",6504797,"-","II","chr19:6502090-6502411","S_Shelf","","",""
"blood","cg19547155",0.688,0.655,0.015,0.122,"chr19",55013954,"-","II","","OpenSea","LAIR2;LAIR2","NM_002288;NM_021270","TSS200;TSS200"
"blood","cg21629821",0.321,0.325,0.006,0.079,"chr19",46713473,"+","II","","OpenSea","DKFZp434J0226","NR_027003","TSS200"
"blood","cg22038059",0.137,0.137,0.003,0.05,"chr19",18699342,"+","II","chr19:18699422-18700554","N_Shore","C19orf60;C19orf60","NM_001100418;NM_001100419","TSS200;TSS200"
"blood","cg22232952",0.477,0.478,0.008,0.089,"chr19",10206625,"-","II","chr19:10206624-10207351","Island","ANGPTL6","NM_031917","Body"
"blood","cg22472290",0.663,0.664,0.008,0.092,"chr19",52391480,"-","II","chr19:52390841-52391368","S_Shore","ZNF577;ZNF577;ZNF577","NR_024181;NM_001135590;NM_032679","TSS1500;TSS1500;TSS1500"
"blood","cg22501922",0.585,0.586,0.006,0.078,"chr19",7928773,"+","II","chr19:7926590-7928752","S_Shore","EVI5L;EVI5L","NM_001159944;NM_145245","3'UTR;3'UTR"
"blood","cg22765626",0.549,0.548,0.007,0.081,"chr19",15488902,"+","II","chr19:15489856-15491258","N_Shore","AKAP8","NM_005858","Body"
"blood","cg22911650",0.655,0.652,0.006,0.077,"chr19",51645423,"-","II","","OpenSea","SIGLEC7;SIGLEC7","NM_016543;NM_014385","TSS200;TSS200"
"blood","cg23254334",0.901,0.895,0.003,0.051,"chr19",8032346,"+","II","chr19:8028515-8028820","S_Shelf","ELAVL1","NM_001419","Body"
"blood","cg23899409",0.734,0.72,0.009,0.095,"chr19",54850582,"+","II","","OpenSea","LILRA4","NM_012276","TSS200"
"blood","cg24041556",0.696,0.692,0.006,0.08,"chr19",10736059,"-","II","chr19:10735999-10736396","Island","SLC44A2;SLC44A2","NM_020428;NM_001145056","TSS200;Body"
"blood","cg24181914",0.433,0.434,0.006,0.076,"chr19",47617301,"-","II","chr19:47615253-47617101","S_Shore","ZC3H4","NM_015168","TSS1500"
"blood","cg24442609",0.144,0.149,0.003,0.052,"chr19",42071114,"+","II","","OpenSea","","",""
"blood","cg24699670",0.131,0.161,0.008,0.09,"chr19",55660614,"-","II","","OpenSea","TNNT1;TNNT1;TNNT1","NM_003283;NM_001126133;NM_001126132","TSS200;TSS200;TSS200"
"blood","cg24834889",0.26,0.267,0.009,0.093,"chr19",37825406,"+","II","chr19:37825101-37825756","Island","HKR1","NM_181786","TSS200"
"blood","cg25556035",0.708,0.699,0.009,0.093,"chr19",13127873,"-","II","chr19:13120986-13124368","S_Shelf","NFIX","NM_002501","Body"
"blood","cg26151999",0.323,0.334,0.007,0.082,"chr19",55644082,"-","II","","OpenSea","","",""
"blood","cg26173906",0.66,0.66,0.006,0.078,"chr19",14376389,"+","II","chr19:14376688-14376961","N_Shore","","",""
"blood","cg26279261",0.123,0.129,0.004,0.06,"chr19",17346089,"-","II","chr19:17346165-17346886","N_Shore","NR2F6","NM_005234","Body"
"blood","cg26623885",0.841,0.833,0.003,0.051,"chr19",38709496,"-","II","chr19:38713166-38713458","N_Shelf","DPF1;DPF1;DPF1","NM_001135155;NM_001135156;NM_004647","Body;Body;Body"
"blood","cg27270541",0.136,0.139,0.002,0.048,"chr19",48614177,"-","II","","OpenSea","PLA2G4C;PLA2G4C;PLA2G4C","NM_001159323;NM_001159322;NM_003706","TSS200;TSS200;TSS200"
"blood","cg27331471",0.398,0.4,0.006,0.076,"chr19",45809725,"-","II","chr19:45805654-45805977","S_Shelf","CKM","NM_001824","3'UTR"
"blood","ch.19.746747R",0.102,0.108,0.002,0.047,"chr19",17726035,"+","II","chr19:17728443-17728647","N_Shelf","UNC13A","NM_001080421","Body"
"blood","cg00377358",0.138,0.145,0.003,0.051,"chr20",61639277,"-","II","chr20:61640480-61641168","N_Shore","BHLHE23","NM_080606","TSS1500"
"blood","cg01209296",0.119,0.126,0.002,0.049,"chr20",62435316,"-","II","chr20:62433937-62434203","S_Shore","ZBTB46","NM_025224","5'UTR"
"blood","cg01948217",0.28,0.298,0.01,0.102,"chr20",36932385,"+","II","","OpenSea","BPI","NM_001725","TSS200"
"blood","cg04442417",0.833,0.826,0.003,0.054,"chr20",62191507,"+","II","chr20:62191381-62191627","Island","PRIC285;PRIC285","NM_001037335;NM_033405","Body;Body"
"blood","cg04940435",0.136,0.135,0.002,0.047,"chr20",44420291,"-","II","chr20:44420497-44420868","N_Shore","WFDC3;DNTTIP1","NM_080614;NM_052951","5'UTR;TSS1500"
"blood","cg06407657",0.842,0.821,0.005,0.073,"chr20",43937138,"-","II","chr20:43935199-43935633","S_Shore","MATN4;RBPJL;MATN4;MATN4","NM_030592;NM_014276;NM_003833;NM_030590","TSS200;Body;TSS200;TSS200"
"blood","cg06698399",0.843,0.837,0.003,0.051,"chr20",60308446,"+","II","","OpenSea","CDH4","NM_001794","Body"
"blood","cg07722360",0.827,0.82,0.004,0.061,"chr20",17691454,"+","II","","OpenSea","BANF2;BANF2;BANF2","NM_001014977;NM_178477;NM_001159495","5'UTR;5'UTR;Body"
"blood","cg08058894",0.133,0.14,0.003,0.05,"chr20",42544178,"+","II","chr20:42543097-42545137","Island","TOX2;TOX2;TOX2","NM_001098796;NM_001098797;NM_032883","TSS1500;Body;TSS1500"
"blood","cg08642068",0.703,0.703,0.019,0.137,"chr20",31591776,"-","II","","OpenSea","SPAG4L","NM_080675","Body"
"blood","cg08788055",0.844,0.835,0.003,0.052,"chr20",48184061,"-","II","chr20:48184193-48184833","N_Shore","PTGIS","NM_000961","Body"
"blood","cg09881842",0.88,0.862,0.004,0.065,"chr20",20036653,"-","II","chr20:20032740-20033471","S_Shelf","C20orf26;CRNKL1;C20orf26","NM_015585;NM_016652;NM_001167816","5'UTR;1stExon;TSS1500"
"blood","cg16483466",0.874,0.869,0.002,0.044,"chr20",31671234,"+","II","","OpenSea","C20orf186","NM_182519","Body"
"blood","cg16691087",0.774,0.765,0.006,0.076,"chr20",20036684,"+","II","chr20:20032740-20033471","S_Shelf","C20orf26;CRNKL1;CRNKL1;C20orf26","NM_015585;NM_016652;NM_016652;NM_001167816","5'UTR;5'UTR;1stExon;TSS1500"
"blood","cg16872106",0.153,0.159,0.003,0.051,"chr20",18268459,"+","II","chr20:18268544-18269405","N_Shore","ZNF133;ZNF133","NM_001083330;NM_003434","TSS1500;TSS1500"
"blood","cg17593958",0.151,0.159,0.003,0.051,"chr20",62199034,"+","II","chr20:62200085-62200320","N_Shore","PRIC285;PRIC285;PRIC285","NM_033405;NM_001037335;NM_033405","5'UTR;Body;1stExon"
"blood","cg19871388",0.529,0.526,0.006,0.075,"chr20",50419082,"+","II","chr20:50417312-50419045","S_Shore","SALL4","NM_020436","TSS200"
"blood","cg21685427",0.651,0.655,0.006,0.078,"chr20",42187356,"+","II","","OpenSea","SGK2","NM_170693","TSS1500"
"blood","cg21723559",0.875,0.868,0.002,0.046,"chr20",44048174,"-","II","chr20:44044652-44045147","S_Shelf","PIGT","NM_015937","Body"
"blood","cg22021786",0.899,0.893,0.002,0.045,"chr20",44207288,"-","II","","OpenSea","WFDC8;WFDC8","NM_181510;NM_130896","Body;Body"
"blood","cg23289456",0.657,0.652,0.006,0.08,"chr20",749620,"+","II","","OpenSea","C20orf54","NM_033409","TSS1500"
"blood","cg23682609",0.615,0.63,0.008,0.089,"chr20",52687365,"-","II","","OpenSea","BCAS1","NM_003657","TSS200"
"blood","cg25318971",0.78,0.772,0.006,0.075,"chr20",55837483,"-","II","chr20:55839287-55839766","N_Shore","BMP7","NM_001719","Body"
"blood","cg27176129",0.821,0.801,0.007,0.082,"chr20",43937155,"+","II","chr20:43935199-43935633","S_Shore","MATN4;RBPJL;MATN4;MATN4","NM_030592;NM_014276;NM_003833;NM_030590","TSS200;Body;TSS200;TSS200"
"blood","cg27337176",0.857,0.85,0.002,0.049,"chr20",61151467,"-","II","chr20:61151586-61151903","N_Shore","C20orf166;MIR1-1","NM_178463;NR_029780","Body;TSS200"
"blood","cg00927699",0.872,0.863,0.003,0.059,"chr21",46493289,"+","II","chr21:46494173-46495472","N_Shore","ADARB1;C21orf122;ADARB1;ADARB1;ADARB1;ADARB1;ADARB1;ADARB1","NR_027672;NR_027292;NM_001160230;NM_001112;NR_027674;NM_015833;NM_015834;NR_027673","TSS1500;TSS200;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500"
"blood","cg01895398",0.836,0.813,0.007,0.085,"chr21",47038905,"-","II","","OpenSea","","",""
"blood","cg02253535",0.256,0.265,0.006,0.079,"chr21",45147292,"+","II","chr21:45148454-45149262","N_Shore","PDXK","NM_003681","Body"
"blood","cg02315187",0.556,0.536,0.005,0.074,"chr21",46317913,"+","II","chr21:46321397-46321644","N_Shelf","ITGB2;ITGB2","NM_000211;NM_001127491","Body;Body"
"blood","cg05202042",0.315,0.312,0.007,0.086,"chr21",15646187,"+","II","","OpenSea","ABCC13;ABCC13","NR_003087;NR_003088","Body;Body"
"blood","cg06230839",0.611,0.611,0.006,0.079,"chr21",43189892,"-","II","chr21:43186280-43187436","S_Shelf","","",""
"blood","cg06496041",0.805,0.774,0.008,0.09,"chr21",39810840,"+","II","","OpenSea","ERG;ERG;ERG;ERG","NM_004449;NM_182918;NM_001136155;NM_001136154","Body;Body;5'UTR;Body"
"blood","cg07018760",0.408,0.408,0.007,0.083,"chr21",46074616,"-","II","","OpenSea","KRTAP12-4;C21orf29","NM_198698;NM_144991","TSS200;Body"
"blood","cg09727148",0.656,0.657,0.007,0.084,"chr21",43560719,"+","II","","OpenSea","UMODL1;UMODL1","NM_173568;NM_001004416","3'UTR;3'UTR"
"blood","cg13110574",0.834,0.828,0.004,0.063,"chr21",46493169,"+","II","chr21:46494173-46495472","N_Shore","ADARB1;C21orf122;ADARB1;ADARB1;ADARB1;ADARB1;ADARB1;ADARB1","NR_027672;NR_027292;NM_001160230;NM_001112;NR_027674;NM_015833;NM_015834;NR_027673","TSS1500;TSS200;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500"
"blood","cg13854874",0.157,0.162,0.003,0.054,"chr21",37757525,"-","II","chr21:37757496-37758113","Island","CHAF1B","NM_005441","TSS200"
"blood","cg00024416",0.305,0.312,0.011,0.105,"chr22",24240387,"+","II","chr22:24236257-24237539","S_Shelf","","",""
"blood","cg00058879",0.122,0.127,0.002,0.044,"chr22",40082173,"+","II","chr22:40081519-40082390","Island","CACNA1I;CACNA1I","NM_001003406;NM_021096","Body;Body"
"blood","cg00919591",0.1,0.107,0.002,0.046,"chr22",23524136,"+","II","chr22:23522550-23524465","Island","BCR;BCR","NM_021574;NM_004327","1stExon;1stExon"
"blood","cg02879960",0.137,0.155,0.005,0.071,"chr22",50483545,"+","II","chr22:50483350-50483579","Island","TTLL8","NM_001080447","Body"
"blood","cg05333174",0.566,0.561,0.011,0.106,"chr22",43163057,"+","II","chr22:43165947-43166287","N_Shelf","","",""
"blood","cg06707910",0.501,0.5,0.007,0.084,"chr22",17640812,"+","II","chr22:17639481-17640714","S_Shore","CECR5;CECR4;CECR4;CECR5","NM_017829;NR_024482;NR_024483;NM_033070","Body;Body;Body;TSS1500"
"blood","cg07219314",0.131,0.145,0.003,0.05,"chr22",23744725,"+","II","","OpenSea","ZDHHC8P","NR_003950","Body"
"blood","cg09142166",0.633,0.64,0.006,0.075,"chr22",44276013,"+","II","","OpenSea","PNPLA5","NM_138814","3'UTR"
"blood","cg09881585",0.061,0.076,0.002,0.046,"chr22",50483499,"+","II","chr22:50483350-50483579","Island","TTLL8","NM_001080447","Body"
"blood","cg16887179",0.819,0.813,0.004,0.066,"chr22",42348061,"+","II","","OpenSea","LOC339674","NR_024355","TSS200"
"blood","cg17344340",0.121,0.13,0.003,0.053,"chr22",46044084,"+","II","chr22:46041368-46041910","S_Shelf","","",""
"blood","cg19558972",0.248,0.277,0.008,0.09,"chr22",23922378,"+","II","","OpenSea","IGLL1;IGLL1;IGLL1;IGLL1","NM_152855;NM_020070;NM_020070;NM_152855","1stExon;5'UTR;1stExon;5'UTR"
"blood","cg20426710",0.406,0.405,0.006,0.075,"chr22",50248907,"+","II","chr22:50250160-50250513","N_Shore","ZBED4","NM_014838","5'UTR"
"blood","cg20439022",0.09,0.104,0.002,0.048,"chr22",38478787,"+","II","chr22:38476836-38478839","Island","SLC16A8","NM_013356","Body"
"blood","cg20995573",0.163,0.173,0.004,0.064,"chr22",51038379,"+","II","chr22:51038494-51039752","N_Shore","MAPK8IP2","NM_012324","TSS1500"
"blood","cg21104946",0.109,0.116,0.002,0.044,"chr22",46373530,"-","II","chr22:46371469-46375234","Island","WNT7B","NM_058238","TSS1500"
"blood","cg21560830",0.739,0.733,0.006,0.077,"chr22",49879782,"-","II","chr22:49883068-49883385","N_Shelf","","",""
"blood","cg22445712",0.426,0.425,0.006,0.076,"chr22",50738550,"+","II","chr22:50737809-50738961","Island","PLXNB2","NM_012401","5'UTR"
"blood","cg22778120",0.652,0.654,0.006,0.075,"chr22",45094531,"-","II","chr22:45097755-45098801","N_Shelf","PRR5;PRR5;PRR5;PRR5","NM_001017529;NM_001017530;NM_001017528;NM_015366","5'UTR;5'UTR;5'UTR;5'UTR"
"blood","cg26759223",0.47,0.467,0.008,0.091,"chr22",46448690,"-","II","chr22:46449632-46450115","N_Shore","C22orf26;LOC150381","NM_018280;NR_027034","Body;TSS1500"
"brain","cg00062020",0.699,0.699,0.004,0.062,"chr1",85100819,"+","I","","OpenSea","C1orf180","NR_027379","TSS200"
"brain","cg00171113",0.889,0.885,0.001,0.036,"chr1",2073900,"+","I","","OpenSea","PRKCZ;PRKCZ;PRKCZ","NM_001033582;NM_002744;NM_001033581","5'UTR;Body;5'UTR"
"brain","cg00859129",0.68,0.677,0.004,0.062,"chr1",109422184,"-","I","chr1:109419544-109420038","S_Shelf","GPSM2","NM_013296","5'UTR"
"brain","cg00894481",0.684,0.692,0.004,0.061,"chr1",15912201,"+","I","chr1:15911088-15911608","S_Shore","AGMAT","NM_024758","TSS1500"
"brain","cg00910518",0.09,0.089,0.002,0.039,"chr1",91195213,"+","I","chr1:91190489-91192804","S_Shelf","","",""
"brain","cg02892189",0.098,0.108,0.002,0.04,"chr1",6321676,"+","I","chr1:6320137-6320942","S_Shore","GPR153","NM_207370","TSS1500"
"brain","cg02977466",0.756,0.762,0.005,0.071,"chr1",17280850,"-","I","chr1:17281818-17282056","N_Shore","CROCC","NM_014675","Body"
"brain","cg02978297",0.753,0.742,0.004,0.066,"chr1",94057587,"-","I","","OpenSea","BCAR3","NM_003567","Body"
"brain","cg06324094",0.097,0.107,0.002,0.045,"chr1",153950482,"+","I","chr1:153949712-153950525","Island","JTB","NM_006694","TSS200"
"brain","cg06659614",0.89,0.885,0.002,0.042,"chr1",152010183,"-","I","chr1:152008838-152009112","S_Shore","S100A11","NM_005620","TSS1500"
"brain","cg06749803",0.837,0.835,0.003,0.057,"chr1",2360074,"-","I","chr1:2359926-2360167","Island","","",""
"brain","cg07037778",0.851,0.849,0.003,0.056,"chr1",115826414,"-","I","","OpenSea","","",""
"brain","cg07186168",0.728,0.722,0.004,0.062,"chr1",5945082,"+","I","","OpenSea","NPHP4","NM_015102","Body"
"brain","cg07586906",0.827,0.824,0.006,0.075,"chr1",160250600,"-","I","","OpenSea","PEX19;PEX19","NM_001131039;NM_002857","Body;Body"
"brain","cg07905537",0.79,0.786,0.005,0.067,"chr1",45309425,"+","I","chr1:45308543-45309159","S_Shore","PTCH2;PTCH2","NM_001166292;NM_003738","TSS1500;TSS1500"
"brain","cg07911682",0.098,0.094,0.001,0.036,"chr1",51425659,"+","I","chr1:51425447-51426070","Island","FAF1;FAF1","NM_007051;NM_007051","1stExon;5'UTR"
"brain","cg10432364",0.907,0.907,0.001,0.037,"chr1",77997502,"-","I","","OpenSea","AK5;AK5","NM_174858;NM_012093","Body;Body"
"brain","cg10959932",0.691,0.686,0.004,0.06,"chr1",53661861,"-","I","chr1:53662309-53662815","N_Shore","CPT2","NM_000098","TSS1500"
"brain","cg12065228",0.953,0.947,0.002,0.045,"chr1",19652788,"-","I","","OpenSea","PQLC2;PQLC2;PQLC2","NM_001040125;NM_017765;NM_001040126","Body;Body;Body"
"brain","cg12129117",0.538,0.54,0.005,0.069,"chr1",223940656,"-","I","chr1:223936342-223937044","S_Shelf","CAPN2;CAPN2","NM_001748;NM_001146068","Body;Body"
"brain","cg13051977",0.8,0.788,0.004,0.061,"chr1",45148001,"-","I","","OpenSea","C1orf228","NM_001145636","5'UTR"
"brain","cg13182809",0.531,0.544,0.004,0.064,"chr1",151734251,"-","I","chr1:151735445-151736093","N_Shore","OAZ3;MRPL9","NM_001134939;NM_031420","TSS1500;Body"
"brain","cg13493781",0.86,0.861,0.002,0.047,"chr1",191120830,"+","I","","OpenSea","","",""
"brain","cg13552506",0.9,0.887,0.002,0.049,"chr1",946444,"-","I","chr1:948670-948894","N_Shelf","","",""
"brain","cg15501415",0.855,0.842,0.003,0.054,"chr1",57107842,"-","I","chr1:57110663-57111337","N_Shelf","","",""
"brain","cg15924570",0.548,0.551,0.004,0.062,"chr1",1144724,"-","I","chr1:1145568-1145878","N_Shore","","",""
"brain","cg15932464",0.84,0.835,0.003,0.052,"chr1",151046740,"+","I","chr1:151042870-151043537","S_Shelf","GABPB2","NM_144618","5'UTR"
"brain","cg16122796",0.872,0.873,0.002,0.041,"chr1",32145414,"+","I","","OpenSea","COL16A1","NM_001856","Body"
"brain","cg16243197",0.615,0.611,0.005,0.074,"chr1",182807962,"+","I","chr1:182808312-182809122","N_Shore","DHX9","NM_001357","TSS1500"
"brain","cg16427321",0.891,0.89,0.002,0.039,"chr1",10917344,"-","I","","OpenSea","","",""
"brain","cg19308497",0.896,0.888,0.001,0.039,"chr1",160147442,"-","I","","OpenSea","ATP1A4;ATP1A4","NM_144699;NM_001001734","Body;1stExon"
"brain","cg19763774",0.777,0.769,0.004,0.066,"chr1",115625602,"+","I","","OpenSea","TSPAN2","NM_005725","Body"
"brain","cg19817795",0.857,0.855,0.004,0.064,"chr1",163412922,"+","I","","OpenSea","","",""
"brain","cg19930569",0.882,0.878,0.002,0.05,"chr1",88933040,"+","I","","OpenSea","","",""
"brain","cg20629417",0.846,0.841,0.003,0.055,"chr1",3106929,"+","I","chr1:3104956-3105253","S_Shore","PRDM16;PRDM16","NM_022114;NM_199454","Body;Body"
"brain","cg21164723",0.117,0.112,0.002,0.045,"chr1",214776304,"+","I","chr1:214776256-214776935","Island","CENPF","NM_016343","TSS1500"
"brain","cg22622495",0.099,0.101,0.002,0.046,"chr1",91966418,"-","I","chr1:91966263-91966999","Island","CDC7;CDC7;CDC7;CDC7;CDC7","NM_001134419;NM_003503;NM_001134419;NM_001134420;NM_003503","5'UTR;5'UTR;1stExon;TSS1500;1stExon"
"brain","cg23618179",0.65,0.645,0.004,0.066,"chr1",14746308,"-","I","","OpenSea","","",""
"brain","cg24085946",0.107,0.101,0.002,0.039,"chr1",204797839,"-","I","chr1:204797610-204797930","Island","NFASC;NFASC;NFASC;NFASC;NFASC;NFASC;NFASC;NFASC;NFASC;NFASC","NM_001160333;NM_001005388;NM_001005388;NM_001160332;NM_015090;NM_001160332;NM_015090;NM_001160333;NM_001005389;NM_001005389","1stExon;5'UTR;1stExon;1stExon;1stExon;5'UTR;5'UTR;5'UTR;1stExon;5'UTR"
"brain","cg24441324",0.837,0.829,0.005,0.073,"chr1",150523231,"+","I","chr1:150521349-150522368","S_Shore","ADAMTSL4;ADAMTSL4","NM_019032;NM_025008","5'UTR;5'UTR"
"brain","cg24455365",0.071,0.076,0.001,0.038,"chr1",20961229,"-","I","chr1:20960045-20960551","S_Shore","PINK1","NM_032409","Body"
"brain","cg24479820",0.815,0.813,0.004,0.067,"chr1",2388073,"+","I","chr1:2387669-2388086","Island","","",""
"brain","cg24839533",0.086,0.087,0.001,0.036,"chr1",32226222,"+","I","chr1:32226146-32226535","Island","BAI2","NM_001703","5'UTR"
